,Tiempo,Zenith,Azimuth,Area,Circul,A_Z,A_A,Área Predecida
0,2020-05-18 19:04:00+02:00,0.832079887868283,0.2631980996846609,65819.0,0.7106455133512277,62680.35217186622,61637.276830627794,64083.70013234556
0,2020-05-18 19:06:00+02:00,0.8356416740262702,0.26741577322984844,65854.5,0.6442581647882809,62325.84176005726,61487.370097474566,64445.317508971406
0,2020-05-19 10:39:00+02:00,0.5550322362618612,-0.12984491951277655,27036.0,0.699082646712513,33268.854911307804,26167.770239813475,39018.383113425196
0,2020-05-19 10:41:00+02:00,0.5500065488191404,-0.13585452657516156,27030.0,0.6221903346983693,32445.585609576432,25815.442792797454,38510.89560417137
0,2020-05-19 10:43:00+02:00,0.5449726026163824,-0.14189835534052958,26743.0,0.6755192859878164,31641.749810547335,25478.404906451367,38003.72159115129
0,2020-05-19 10:45:00+02:00,0.539931057694243,-0.14797777015440358,24896.0,0.6458075806207852,30859.83160358714,25156.55052012473,37497.02922621994
0,2020-05-19 10:47:00+02:00,0.5348825799236937,-0.15409418203716346,24882.0,0.6703058631187774,30102.147668504855,24849.745872032396,36990.98977839168
0,2020-05-19 10:49:00+02:00,0.5298278314395598,-0.16024906244080026,24772.0,0.6409108760836038,29370.824735415634,24557.82919505059,36485.77677705213
0,2020-05-19 10:51:00+02:00,0.5247674780496175,-0.16644393659372,24677.0,0.6823086561329974,28667.781722831307,24280.611486092414,35981.56686401686
0,2020-05-19 10:53:00+02:00,0.5197021881531395,-0.17268038711642442,24714.0,0.6806762790743381,27994.712783863535,24017.87671155474,35478.539793789445
0,2020-05-19 10:55:00+02:00,0.5146326316516429,-0.17896005775628968,24522.5,0.7223645535253181,27353.0728254735,23769.38203055129,34976.878438205866
0,2020-05-19 10:58:00+02:00,0.5070217815413309,-0.1884643349875315,24337.5,0.6945627978049554,26452.106718595373,23422.74445781081,34227.35665692655
0,2020-05-19 11:00:00+02:00,0.5019445296061914,-0.19485963264583814,24357.5,0.6913797278580753,25893.739224998513,23208.61549271785,33729.934147629465
0,2020-05-19 11:02:00+02:00,0.49686539790142764,-0.20130438246452992,24154.0,0.6186659238507286,25369.867203302216,23007.670809057694,33234.546613241604
0,2020-05-19 11:04:00+02:00,0.4917850803847643,-0.2078005121929269,23998.5,0.7092907390036691,24880.765194102656,22819.551001366654,32741.394095840253
0,2020-05-19 11:06:00+02:00,0.4867042760759835,-0.2143500200379313,23904.0,0.6976951189294168,24426.438849278493,22643.871513111633,32250.68075469145
0,2020-05-19 11:08:00+02:00,0.4816236965181096,-0.22095496758988892,23538.0,0.7308892921555216,24006.62951862323,22480.223204704434,31762.61570675885
0,2020-05-19 11:10:00+02:00,0.47654405620880025,-0.22761749471115858,23252.5,0.734472833119256,23620.820218175882,22328.17237156567,31277.412222921426
0,2020-05-19 11:12:00+02:00,0.4714660801209424,-0.23433981238996654,22958.0,0.7249394623335846,23268.24596500327,22187.261403207107,30795.28857443604
0,2020-05-19 11:14:00+02:00,0.4663905026408749,-0.24112420659663097,22812.5,0.7560375735658659,22947.906059071887,22057.009200123284,30316.468047628616
0,2020-05-19 11:16:00+02:00,0.46131806828664235,-0.24797303979623872,22608.0,0.7433485917467177,22658.579134066822,21936.91173040346,29841.17912819606
0,2020-05-19 11:18:00+02:00,0.45624953068639307,-0.254888754772608,22907.0,0.7252325574232953,22398.840570413042,21826.442644300885,29369.65552069775
0,2020-05-19 11:20:00+02:00,0.45118566005829586,-0.26187386672086527,22993.0,0.7334004797564353,22167.082591231214,21725.05418473899,28902.136952738132
0,2020-05-19 11:22:00+02:00,0.44612723374438684,-0.26893097836216007,22825.0,0.7180701397802878,21961.53554769489,21632.177870245057,28438.868397962957
0,2020-05-19 11:24:00+02:00,0.4410750437041472,-0.27606277179421446,22157.0,0.7348924481129099,21780.29188728705,21547.225714163826,27980.10087098414
0,2020-05-19 11:26:00+02:00,0.4360298955136246,-0.2832720117116313,22217.0,0.7306317093491109,21621.331212566467,21469.591446732786,27526.09142168102
0,2020-05-19 11:28:00+02:00,0.4309926091161408,-0.290561546025737,22232.5,0.7424552359609289,21482.54668384674,21398.65200026853,27077.103282528347
0,2020-05-19 11:30:00+02:00,0.4259640178231053,-0.2979343088014041,22298.5,0.7291601730126249,21361.77232273249,21333.769230265596,26633.405849802744
0,2020-05-19 11:32:00+02:00,0.4209449758144036,-0.30539331037740036,22049.0,0.7017545819527898,21256.81112462445,21274.292037956242,26195.27539803309
0,2020-05-19 11:34:00+02:00,0.41593634873692253,-0.3129416519336843,22021.5,0.7032748313243133,21165.4630434406,21219.558611108034,25762.99428737251
0,2020-05-19 11:36:00+02:00,0.41093902117137027,-0.32058251494605516,21998.0,0.7352056026472553,21085.553302886663,21168.899259715694,25336.851641392102
0,2020-05-19 11:38:00+02:00,0.4059538957115487,-0.3283191623979176,21883.0,0.6995240334534788,21014.96005377057,21121.639560013864,24917.14325932815
0,2020-05-19 11:40:00+02:00,0.4009818919947587,-0.33615493972938826,21618.0,0.7233147662103148,20951.641243497375,21077.10397003605,24504.171508261352
0,2020-05-19 11:42:00+02:00,0.39602395415458697,-0.3440932618161678,21757.5,0.7023760708964567,20893.660413961392,21034.620028528887,24098.24588201655
0,2020-05-19 11:44:00+02:00,0.39108104151384426,-0.3521376256634319,21809.0,0.6214152005475684,20839.210753076477,20993.522958164765,23699.682135093986
0,2020-05-19 11:46:00+02:00,0.3861541360014319,-0.3602915959627811,21998.5,0.6519525988901808,20786.637471277034,20953.16101352766,23308.802768900583
0,2020-05-19 11:48:00+02:00,0.3812442412469348,-0.3685588027544658,21697.0,0.6044666193627529,20734.457842484582,20912.901385169607,22925.93677911436
0,2020-05-19 11:51:00+02:00,0.3739135434100188,-0.3811800194697776,21617.5,0.601816864293564,20654.15323500801,20851.384068126503,22367.397946448167
0,2020-05-19 12:03:00+02:00,0.34506974070820684,-0.43455150169259066,20956.0,0.6195587185346487,20260.25555229839,20559.81547762789,20344.654465587388
