,Unnamed: 0,Unnamed: 0.1,Radiacion,Radiacion difusa,Ratio nubes,Factor solar,Área solar,Intensidad cielo,Intensidad cielo Equiponderado Coseno:True Gamma_corr:True,Intensidad cielo Equiponderado Coseno:False Gamma_corr:True,Intensidad cielo Equiponderado Coseno:True Gamma_corr:False,Intensidad cielo Equiponderado Coseno:False Gamma_corr:False,Intensidad cielo CCIR Coseno:True Gamma_corr:True,Intensidad cielo CCIR Coseno:False Gamma_corr:True,Intensidad cielo CCIR Coseno:True Gamma_corr:False,Intensidad cielo CCIR Coseno:False Gamma_corr:False,Intensidad cielo ITUR Coseno:True Gamma_corr:True,Intensidad cielo ITUR Coseno:False Gamma_corr:True,Intensidad cielo ITUR Coseno:True Gamma_corr:False,Intensidad cielo ITUR Coseno:False Gamma_corr:False,Intensidad nubes,Intensidad nubes Equiponderado Coseno:True Gamma_corr:True,Intensidad nubes Equiponderado Coseno:False Gamma_corr:True,Intensidad nubes Equiponderado Coseno:True Gamma_corr:False,Intensidad nubes Equiponderado Coseno:False Gamma_corr:False,Intensidad nubes CCIR Coseno:True Gamma_corr:True,Intensidad nubes CCIR Coseno:False Gamma_corr:True,Intensidad nubes CCIR Coseno:True Gamma_corr:False,Intensidad nubes CCIR Coseno:False Gamma_corr:False,Intensidad nubes ITUR Coseno:True Gamma_corr:True,Intensidad nubes ITUR Coseno:False Gamma_corr:True,Intensidad nubes ITUR Coseno:True Gamma_corr:False,Intensidad nubes ITUR Coseno:False Gamma_corr:False,ghi,Azimuth,Zenith
1039,1039,2020-05-22 14:28:00,884.4777526855469,93.66789245605469,0.023084391186275092,0.85,14735.0,0.9711831006255868,0.904019795240427,0.9504375525089572,0.8773052070843106,0.9223465883688352,0.9035770854598076,0.9499736744587955,0.8733699262492011,0.9182107493321308,0.9024272858582544,0.9487614236207832,0.8732666844774335,0.9181030679454172,0.8788186634393075,0.01747880835575787,0.020393133437241164,0.01575834737174272,0.018023538506285047,0.017299869458166153,0.020173753862550468,0.015363789298688691,0.017552224918411716,0.01738193648375669,0.020286993808632404,0.015497846852843156,0.017724436620966198,891.0153770312128,191.14935784248055,20.22441262109505
1040,1040,2020-05-22 14:33:00,892.005126953125,93.50840759277344,0.026979058894895068,0.85,14340.0,0.9710458638969156,0.8978767124577874,0.9465174889171994,0.8712742246077864,0.918466036303506,0.8975791827748569,0.9462073623012848,0.8674128609984215,0.9143983229397572,0.8962866367917793,0.9448373292713872,0.8673697631692837,0.9143530412946492,0.8724451388787808,0.019984655598868903,0.02366435211202141,0.01782818720643681,0.02071974166339869,0.01977267247416168,0.02340231018909987,0.01736527958811328,0.020160015226714727,0.019870533562041062,0.02353774878437553,0.017523990384077873,0.02036654130022768,898.2898380737957,194.46432352408402,20.4346442544352
1041,1041,2020-05-22 14:35:00,895.2966918945312,93.69363403320312,0.022498175253483896,0.85,14991.0,0.9713537151702786,0.9002050191389595,0.9509879704937724,0.8737808431656285,0.9230637457739715,0.8997792965202244,0.9505432545376246,0.8698791538698338,0.91894671587801,0.8987974838058645,0.9494991058937065,0.8697711946137698,0.9188341487290644,0.8815147898145098,0.016663374920127972,0.01992239731714181,0.015096589222839803,0.017646995774218573,0.01650418098125242,0.019719465517967792,0.014741368581189978,0.017208720246007968,0.016583932453049687,0.019832474229784864,0.014873067958220609,0.01738302038745957,901.1053653720379,195.77210017514568,20.533614911152387
1042,1042,2020-05-22 14:37:00,896.1996459960938,94.20222854614258,0.023037747055677155,0.85,14808.5,0.9711589015848652,0.8987360454798299,0.9508917202325582,0.8724037017011693,0.923026819797458,0.8979584710023065,0.9500685945400392,0.8678993267580842,0.9182549536693492,0.8967347228551149,0.9487656336265764,0.867791946672025,0.9181423235371016,0.8773420740234533,0.016571553969353545,0.020307750761423056,0.014972549482510585,0.01790643194089968,0.016408088306363866,0.020093890210365662,0.014610208952048141,0.017448153406087866,0.016488186437577438,0.0202119847826555,0.014741384428066388,0.017628910146864456,903.8667049699944,197.0682616030876,20.640906754170032
1043,1043,2020-05-22 14:39:00,898.9514770507812,94.07858657836914,0.02290965149099487,0.85,14574.0,0.9708653127443678,0.8979332710996997,0.9519599715712792,0.8718891660158837,0.92434826184397,0.8961501578094586,0.9500746387913088,0.8658951915049182,0.9179926680461892,0.8947870678330953,0.948622214950019,0.8657285784770018,0.9178175734724368,0.8784470802934111,0.016559962286320732,0.020223407506505274,0.01496172616442728,0.017863009471810402,0.01639344913640369,0.020007450544934854,0.014596356582818116,0.017403785147724043,0.0164738192691449,0.020124916462804038,0.014728574178007528,0.01758343071376484,906.5736425186417,198.35207371842012,20.75638850611081
1044,1044,2020-05-22 14:41:00,906.27294921875,94.77910995483398,0.023214479088193973,0.85,14874.0,0.9710000859650356,0.8956272797938271,0.9511672632937528,0.8694288501476091,0.9233409970350612,0.8943799514274541,0.94984322345032,0.8642827326312069,0.9178744217431382,0.8930766334238365,0.9484546398534399,0.8641759501547708,0.9177629370780938,0.8812607836151917,0.017030770618477017,0.02055773993467556,0.0153805246657438,0.018208055295162617,0.016861604516124066,0.020341583855839597,0.015007732164354753,0.017745135252945063,0.01694421599770135,0.020458010032480302,0.015143393380873697,0.017924513222032982,909.2259706773452,199.62285773337547,20.87992191602163
1045,1045,2020-05-22 14:43:00,908.7703857421876,94.88151168823242,0.022794564716504474,0.85,15171.0,0.9710341981267268,0.8942232200178799,0.9518745409042998,0.867992527752838,0.9239504603053438,0.8926140947547021,0.9501649084611759,0.8627066103375938,0.918321176600332,0.8914364413856801,0.948906253965671,0.8624627073026875,0.9180650594428246,0.8799033590375608,0.016849945156866362,0.020156067737503773,0.015205925737264285,0.017829485644914482,0.016679295826568078,0.01994209682247379,0.014830891795676268,0.017370450547610824,0.0167608166202731,0.020057014061851352,0.014964512795542924,0.017546677152323043,911.8234854135832,200.8799894772472,21.011362318577927
1046,1046,2020-05-22 14:45:00,913.1142578125,95.0208740234375,0.022376525485743537,0.85,15301.0,0.9715442075652428,0.8934170445163699,0.9526006114753404,0.8675568296385983,0.9250289541744068,0.8915782208244487,0.9506382326470796,0.8623976657409347,0.9195129917231274,0.8908008498517253,0.949803708871354,0.8618173966942658,0.9189008758236684,0.8795803566722871,0.01626144488473813,0.01976934954947216,0.01471825447014469,0.017489516633640137,0.01610333826344329,0.01956567222864123,0.014371782641779303,0.017054997813858296,0.0161837316016423,0.019681952267836818,0.014498529394488256,0.01722789374745923,914.3659869345342,202.12290243573315,21.150559610428857
1047,1047,2020-05-22 14:47:00,914.8283081054688,96.01799774169922,0.022893126811561932,0.85,15545.0,0.9717232299044783,0.8895058235994207,0.9504766871723582,0.8636435963092937,0.9228392484397772,0.8892609034034465,0.9502181865355545,0.8600508409353371,0.9189984591098841,0.8885731742427242,0.9494767298642336,0.8599756292446396,0.9189191823388604,0.8790926243995888,0.016509708755511606,0.020207502459077133,0.014927816439816506,0.017864258598348816,0.016354042640799312,0.020004123948839832,0.01457967478121284,0.017424022711567098,0.016437335261611515,0.02012517892948857,0.014712172426171196,0.017605079299076055,916.8532805449166,203.3510860508966,21.29735881060012
1048,1048,2020-05-22 14:49:00,918.0591735839844,96.48019790649414,0.02365584038425388,0.85,15651.0,0.9717002850522928,0.8887104136096405,0.9518532428250936,0.8633065194517664,0.9246453078543336,0.8864831640436401,0.9494665648797638,0.8573202568438363,0.9182308991196994,0.8857845583236552,0.9487170676584409,0.8572311408356149,0.9181367582029754,0.8812357768429763,0.017062947573196315,0.020937473602574686,0.01545067382023032,0.01855160496199639,0.016897135253280272,0.020722284339741773,0.015085099580071329,0.018090643815737488,0.01698297024806104,0.020846372877891414,0.015222110948620731,0.018277592734744084,919.2851733261274,204.56408570813247,21.45160081221416
